SAMPLE_ID	mutations
GENIE-VICC-211556-unk-1	VICC-01-T7
GENIE-VICC-211570-unk-1	VICC-01-T7
GENIE-VICC-211690-unk-1	VICC-01-T7
GENIE-VICC-211875-unk-1	VICC-01-T7
GENIE-VICC-212081-unk-1	VICC-01-T7
GENIE-VICC-212462-unk-1	VICC-01-T7
GENIE-VICC-213021-unk-1	VICC-01-T7
GENIE-VICC-213539-unk-1	VICC-01-myeloid
GENIE-VICC-213729-unk-1	VICC-01-T7
GENIE-VICC-214370-unk-1	VICC-01-T7
GENIE-VICC-214659-unk-1	VICC-01-T7
GENIE-VICC-215153-unk-1	VICC-01-T7
GENIE-VICC-215420-unk-1	VICC-01-T7
GENIE-VICC-215434-unk-1	VICC-01-T7
GENIE-VICC-215510-unk-1	VICC-01-myeloid
GENIE-VICC-217302-unk-1	VICC-01-myeloid
GENIE-VICC-217322-unk-1	VICC-01-T7
GENIE-VICC-217959-unk-1	VICC-01-T7
GENIE-VICC-220079-unk-1	VICC-01-T7
GENIE-VICC-220658-unk-1	VICC-01-T7
GENIE-VICC-221394-unk-1	VICC-01-T7
GENIE-VICC-221554-unk-1	VICC-01-myeloid
GENIE-VICC-222277-unk-1	VICC-01-T7
GENIE-VICC-222349-unk-1	VICC-01-T7
GENIE-VICC-223599-unk-1	VICC-01-T7
GENIE-VICC-224119-unk-1	VICC-01-myeloid
GENIE-VICC-224357-unk-1	VICC-01-myeloid
GENIE-VICC-225013-unk-1	VICC-01-T7
GENIE-VICC-225989-unk-1	VICC-01-T7
GENIE-VICC-226565-unk-1	VICC-01-T7
GENIE-VICC-226806-unk-1	VICC-01-myeloid
GENIE-VICC-227703-unk-1	VICC-01-T7
GENIE-VICC-228641-unk-1	VICC-01-T7
GENIE-VICC-229859-unk-1	VICC-01-T7
GENIE-VICC-229859-unk-2	VICC-01-T7
GENIE-VICC-229928-unk-1	VICC-01-T7
GENIE-VICC-231093-unk-1	VICC-01-T7
GENIE-VICC-231193-unk-1	VICC-01-T7
GENIE-VICC-231311-unk-1	VICC-01-T7
GENIE-VICC-234982-unk-1	VICC-01-T7
GENIE-VICC-235254-unk-1	VICC-01-T7
GENIE-VICC-235767-unk-1	VICC-01-T7
GENIE-VICC-236513-unk-1	VICC-01-T7
GENIE-VICC-236913-unk-1	VICC-01-T7
GENIE-VICC-237552-unk-1	VICC-01-T7
GENIE-VICC-237567-unk-1	VICC-01-T7
GENIE-VICC-241749-unk-1	VICC-01-T7
GENIE-VICC-242063-unk-1	VICC-01-T7
GENIE-VICC-243247-unk-1	VICC-01-T7
GENIE-VICC-244090-unk-1	VICC-01-T7
